time,scenario_phase,traction_command,service_brake_request,v_train,acceleration,P_motor_mechanical_signed,P_motor_electrical_signed,P_dc_signed,P_dc_traction,P_dc_regen,P_line,P_transformer_out,F_brake_demand,Fregen_actual,Fmechanical_actual,Ftotal_actual,F_brake_tracking_error,U_pantograph,hv_breaker_state,hv_system_fault,U_transformer_secondary,U_dc_link,P_regen_converter,P_grid_returned,P_brake_resistor,P_ess_dc_input,P_ess_absorbed,SOC_energy,Ucap_equivalent,Icap,Uterminal,E_supercap_kJ,Eregen_stored_kJ
10.5,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5260.041632143649,5102.209575095245,44000.0,0.0,43999.96341273636,43999.96341273636,-0.03658726363937603,24999.915838762678,1,0,1499.9949502865506,1799.993804794138,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.55,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5260.02508648059,5102.196003407777,44000.0,0.0,43999.970044882095,43999.970044882095,-0.02995511790504679,24999.91583905056,1,0,1499.9949503069768,1799.993815719645,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.6,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5260.009871430279,5102.183523163346,44000.0,0.0,43999.97547482376,43999.97547482376,-0.024525176238967106,24999.915839315294,1,0,1499.9949503257606,1799.9938257665156,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.65,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.9958799839715,5102.172046588912,44000.0,0.0,43999.97992048399,43999.97992048399,-0.02007951601262903,24999.915839558736,1,0,1499.9949503430337,1799.9938350054108,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.7,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.98301373795,5102.161492967441,44000.0,0.0,43999.98356028272,43999.98356028272,-0.016439717277535237,24999.9158397826,1,0,1499.9949503589175,1799.993843501308,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.75,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.971182204445,5102.1517880752235,44000.0,0.0,43999.98654029789,43999.98654029789,-0.013459702109685168,24999.91583998846,1,0,1499.994950373524,1799.9938513139596,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.8,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.960302169923,5102.142863656818,44000.0,0.0,43999.98898012796,43999.98898012796,-0.01101987204310717,24999.915840177768,1,0,1499.994950386956,1799.9938584983124,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.85,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.9502971150105,5102.134656945529,44000.0,0.0,43999.990977691865,43999.990977691865,-0.009022308135172352,24999.91584035185,1,0,1499.9949503993078,1799.9938651048951,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.9,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.94109667319,5102.127110223087,44000.0,0.0,43999.992613158865,43999.992613158865,-0.007386841134575661,24999.91584051193,1,0,1499.994950410666,1799.9938711801726,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
10.95,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.932636136455,5102.1201704129935,44000.0,0.0,43999.993952166,43999.993952166,-0.006047834001947194,24999.91584065914,1,0,1499.9949504211108,1799.9938767668718,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.0,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.924856001369,5102.113788707112,44000.0,0.0,43999.995048452314,43999.995048452314,-0.0049515476857777685,24999.91584079451,1,0,1499.9949504307158,1799.9938819042854,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.05,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.91770154983,5102.1079202217725,44000.0,0.0,43999.99594601563,43999.99594601563,-0.00405398436851101,24999.91584091899,1,0,1499.9949504395483,1799.993886628545,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.1,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.91112246411,5102.102523683765,44000.0,0.0,43999.99668087833,43999.99668087833,-0.0033191216716659255,24999.915841033464,1,0,1499.9949504476706,1799.9938909728767,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.15,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.905072472337,5102.097561139102,44000.0,0.0,43999.99728253301,43999.99728253301,-0.002717466988542583,24999.915841138733,1,0,1499.9949504551394,1799.9938949678342,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.2,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.899509024758,5102.092997684558,44000.0,0.0,43999.997775126205,43999.997775126205,-0.002224873795057647,24999.915841235532,1,0,1499.9949504620079,1799.993898641515,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.25,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.894392993509,5102.088801226906,44000.0,0.0,43999.998178427406,43999.998178427406,-0.0018215725940535776,24999.915841324546,1,0,1499.9949504683239,1799.9939020197558,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.3,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.889688395839,5102.084942250493,44000.0,0.0,43999.9985086225,43999.9985086225,-0.0014913775012246333,24999.915841406404,1,0,1499.9949504741319,1799.9939051263166,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.35,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.885362145911,5102.081393615293,44000.0,0.0,43999.998778963374,43999.998778963374,-0.0012210366257932037,24999.915841481677,1,0,1499.9949504794727,1799.9939079830456,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.4,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.881383815183,5102.078130363474,44000.0,0.0,43999.999000299766,43999.999000299766,-0.0009997002343880013,24999.9158415509,1,0,1499.9949504843842,1799.9939106100348,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.45,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.877725424215,5102.075129544968,44000.0,0.0,43999.99918151467,43999.99918151467,-0.0008184853286365978,24999.915841614555,1,0,1499.9949504889005,1799.9939130257596,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.5,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.874361243251,5102.07237005415,44000.0,0.0,43999.99932988089,43999.99932988089,-0.0006701191086904146,24999.915841673086,1,0,1499.994950493054,1799.99391524721,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.55,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.871267612405,5102.069832483503,44000.0,0.0,43999.99945135288,43999.99945135288,-0.0005486471200129017,24999.915841726914,1,0,1499.9949504968731,1799.9939172900104,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.6,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.86842277327,5102.067498985837,44000.0,0.0,43999.99955080573,43999.99955080573,-0.0004491942672757432,24999.915841776412,1,0,1499.9949505003851,1799.9939191685273,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.65,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.865806718079,5102.065353149163,44000.0,0.0,43999.999632230836,43999.999632230836,-0.00036776916385861114,24999.91584182193,1,0,1499.9949505036147,1799.993920895973,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.7,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.8634010476435,5102.063379882243,44000.0,0.0,43999.999698896085,43999.999698896085,-0.0003011039152625017,24999.91584186379,1,0,1499.9949505065847,1799.9939224844961,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.75,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.8611888423675,5102.061565306701,44000.0,0.0,43999.999753476965,43999.999753476965,-0.00024652303545735776,24999.91584190228,1,0,1499.9949505093157,1799.993923945269,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.8,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.859154544258,5102.059896660208,44000.0,0.0,43999.99979816401,43999.99979816401,-0.00020183598826406524,24999.915841937676,1,0,1499.9949505118273,1799.9939252885658,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.85,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.857283845694,5102.05836220817,44000.0,0.0,43999.99983475067,43999.99983475067,-0.00016524933016626164,24999.915841970225,1,0,1499.9949505141367,1799.9939265238338,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.9,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.855563589618,5102.056951157024,44000.0,0.0,43999.99986470529,43999.99986470529,-0.00013529470743378624,24999.915842000155,1,0,1499.9949505162606,1799.9939276597609,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.95,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.8539816785,5102.05565358394,44000.0,0.0,43999.99988923006,43999.99988923006,-0.00011076994269387797,24999.91584202768,1,0,1499.9949505182135,1799.9939287043358,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.0,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.852526984941,5102.054460362191,44000.0,0.0,43999.99990930924,43999.99990930924,-9.06907589524053e-05,24999.91584205299,1,0,1499.9949505200093,1799.9939296649056,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.05,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.851189279207,5102.0533630999735,44000.0,0.0,43999.99992574869,43999.99992574869,-7.425130752380937e-05,24999.915842076265,1,0,1499.9949505216607,1799.9939305482255,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.1,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.849959152293,5102.052354080411,44000.0,0.0,43999.99993920817,43999.99993920817,-6.0791826399508864e-05,24999.91584209767,1,0,1499.9949505231793,1799.9939313605082,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.15,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.848827952844,5102.051426206918,44000.0,0.0,43999.999950227866,43999.999950227866,-4.977213393431157e-05,24999.915842117352,1,0,1499.9949505245759,1799.993932107467,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.2,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.847787725305,5102.050572953304,44000.0,0.0,43999.999959250024,43999.999959250024,-4.074997559655458e-05,24999.91584213545,1,0,1499.9949505258603,1799.9939327943548,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.25,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.846831153605,5102.049788319424,44000.0,0.0,43999.99996663674,43999.99996663674,-3.336326335556805e-05,24999.915842152095,1,0,1499.994950527041,1799.9939334260025,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.3,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.845951509703,5102.049066786046,44000.0,0.0,43999.999972684476,43999.999972684476,-2.731552376644686e-05,24999.9158421674,1,0,1499.994950528127,1799.9939340068527,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.35,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.845142607875,5102.048403278601,44000.0,0.0,43999.99997763594,43999.99997763594,-2.2364059987012297e-05,24999.915842181475,1,0,1499.9949505291256,1799.9939345409905,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.4,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.844398758183,5102.047793131173,44000.0,0.0,43999.999981689856,43999.999981689856,-1.8310143786948174e-05,24999.915842194416,1,0,1499.994950530044,1799.9939350321724,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.45,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.843714729111,5102.0472320524295,44000.0,0.0,43999.999985008915,43999.999985008915,-1.499108475400135e-05,24999.91584220632,1,0,1499.9949505308884,1799.9939354838534,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.5,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.8430857104295,5102.046716095929,44000.0,0.0,43999.99998772634,43999.99998772634,-1.2273660104256123e-05,24999.915842217262,1,0,1499.994950531665,1799.9939358992096,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.55,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.842507278076,5102.046241632599,44000.0,0.0,43999.999989951175,43999.999989951175,-1.004882506094873e-05,24999.91584222733,1,0,1499.994950532379,1799.9939362811629,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.6,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.841975363553,5102.045805325992,44000.0,0.0,43999.99999177272,43999.99999177272,-8.227281796280295e-06,24999.915842236584,1,0,1499.9949505330358,1799.9939366323995,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.65,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.841486225541,5102.045404107533,44000.0,0.0,43999.99999326407,43999.99999326407,-6.735928764101118e-06,24999.915842245093,1,0,1499.9949505336397,1799.993936955389,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.7,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.841036424403,5102.0450351555355,44000.0,0.0,43999.999994485086,43999.999994485086,-5.514913937076926e-06,24999.915842252918,1,0,1499.994950534195,1799.9939372524036,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.75,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.840622796655,5102.044695874411,44000.0,0.0,43999.999995484766,43999.999995484766,-4.5152337406761944e-06,24999.915842260118,1,0,1499.9949505347056,1799.9939375255321,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.8,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.840242433339,5102.044383878832,44000.0,0.0,43999.99999630324,43999.99999630324,-3.696761268656701e-06,24999.915842266735,1,0,1499.9949505351751,1799.9939377766957,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.85,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.839892658586,5102.044096974134,44000.0,0.0,43999.99999697334,43999.99999697334,-3.0266601243056357e-06,24999.91584227282,1,0,1499.994950535607,1799.99393800766,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.9,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.839571013293,5102.043833142052,44000.0,0.0,43999.999997521976,43999.999997521976,-2.4780238163657486e-06,24999.915842278417,1,0,1499.9949505360041,1799.9939382200507,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.95,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.839275234916,5102.043590528254,44000.0,0.0,43999.99999797117,43999.99999797117,-2.0288280211389065e-06,24999.915842283564,1,0,1499.9949505363693,1799.9939384153604,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.0,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.83900324277,5102.043367424921,44000.0,0.0,43999.999998338935,43999.999998338935,-1.6610647435300052e-06,24999.915842288294,1,0,1499.994950536705,1799.9939385949633,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.05,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.8387531251665,5102.043162263812,44000.0,0.0,43999.999998640036,43999.999998640036,-1.3599637895822525e-06,24999.91584229265,1,0,1499.994950537014,1799.9939387601223,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.1,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.83852312147,5102.042973602203,44000.0,0.0,43999.99999888655,43999.99999888655,-1.1134470696561038e-06,24999.91584229665,1,0,1499.9949505372977,1799.9939389119993,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.15,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.838311614931,5102.04280011261,44000.0,0.0,43999.99999908838,43999.99999908838,-9.116192813962698e-07,24999.91584230033,1,0,1499.994950537559,1799.9939390516622,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.2,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.838117118205,5102.042640575239,44000.0,0.0,43999.999999253625,43999.999999253625,-7.4637500802055e-07,24999.915842303715,1,0,1499.994950537799,1799.9939391800933,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.25,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.837938262752,5102.042493868108,44000.0,0.0,43999.99999938892,43999.99999938892,-6.110785761848092e-07,24999.915842306826,1,0,1499.9949505380196,1799.993939298196,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.3,stop_hold,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5259.837773791047,5102.042358958728,44000.0,0.0,43999.99999949969,43999.99999949969,-5.003093974664807e-07,24999.91584230969,1,0,1499.9949505382228,1799.9939394068003,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
