time,artifact_role,L2_3100.out_omega_axle,L2_3100.out_omega_gearbox,L2_3100.out_omega_shaft,L2_3100.out_omega_wheel,L2_3500.out_T_shaft,L2_3500.out_omega_shaft,L2_3600.out_motor_speed,L2_4100.out_U_ac_rms,L2_4100.out_f_ac,L2_4100.out_pantograph_state,L2_4200.out_I_ac_rms,L2_4200.out_U_ac_rms,L2_4200.out_f_ac,L2_4200.out_hv_breaker_command,L2_4200.out_hv_breaker_state,L2_4200.out_hv_system_fault,L2_4200.out_line_current,L2_4200.out_line_voltage,L2_4200.out_pantograph_command,L2_4500.out_I_ac_rms,L2_4500.out_U_sec_rms,L2_4500.out_f_sec,L2_4500.out_hv_system_fault,L2_5100.out_I_sec_rms,L2_5100.out_U_motor_ll_rms,L2_5100.out_brake_resistor_dissipated_power,L2_5100.out_dc_link_current,L2_5100.out_dc_link_voltage,L2_5100.out_f_motor_e,L2_5100.out_grid_acceptable_regenerative_power,L2_5100.out_grid_returned_power,L2_5100.out_regenerative_power_actual,L2_5100.out_traction_converter_fault,L2_5300.out_I_motor_rms,L2_5300.out_T_shaft,L2_5300.out_motor_phase_voltage,L2_5300.out_motor_speed,L2_5300.out_motor_torque_actual,L2_5300.out_omega_motor,L2_7100.out_main_reservoir_pressure,L2_7200.out_T_brake,L2_7200.out_brake_availability,L2_7200.out_brake_cylinder_pressure,L2_7200.out_dynamic_brake_force_request,L2_8100.out_achieved_dynamic_brake_force,L2_8100.out_available_dynamic_brake_force,L2_8100.out_brake_cylinder_pressure,L2_8100.out_brake_safety_loop_state,L2_8100.out_dcdc_enable_command,L2_8100.out_dynamic_brake_availability,L2_8100.out_emergency_brake_request,L2_8100.out_ess_contactor_command,L2_8100.out_ess_fault_reset_command,L2_8100.out_ess_power_request,L2_8100.out_ess_precharge_command,L2_8100.out_hv_safety_loop_state,L2_8100.out_main_reservoir_pressure,L2_8100.out_motor_torque_request,L2_8100.out_safety_brake_request,L2_8100.out_sanding_request,L2_8100.out_service_brake_request,L2_D100.out_emergency_brake_request,L2_D100.out_service_brake_request,L2_D100.out_traction_command,L2_D100.out_train_direction_command,L2_E100.out_external_safety_system_state,L2_E100.out_safety_brake_request,L2_X100.out_dcdc_actual_power,L2_X100.out_ess_absorbed_power,L2_X100.out_ess_availability,L2_X100.out_ess_available_charge_power,L2_X100.out_ess_available_discharge_power,L2_X100.out_ess_fault,L2_X100.out_super_cap_soc
1.05,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24989.465081028888,50.0,1,24.231440967904565,24988.53334917179,50.0,1,1,0,24.231440967904565,24988.53334917179,1,22.29657829704935,1499.2521283939527,50.0,0,331.7311532645428,250.0,0.0,0.0,1346.6500526427353,22.67957939059509,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1500.0,0,0,0.0,0,0.0,0.35000000000000003,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.1,diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24990.307423612838,50.0,1,22.29657829704935,24989.465081028888,50.0,1,1,0,22.29657829704935,24989.465081028888,1,20.51945277925007,1499.3120009503073,50.0,0,305.3138227425776,250.0,0.0,0.0,1388.5916339194266,23.8732414637843,0.0,0.0,-0.0,0,0.0,315.2088841232481,144.33756729740645,0.0,315.2088841232481,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1575.0000000000002,0,0,0.0,0,0.0,0.3666666666666667,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.15,diagnostic,0.0,0.0,0.0,0.0,1876.1232783015726,0.0,0.0,24991.08136868118,50.0,1,20.51945277925007,24990.307423612838,50.0,1,1,0,20.51945277925007,24990.307423612838,1,18.885391097479026,1499.3679048617332,50.0,0,281.0229877879712,250.0,0.0,0.0,1426.0719811338756,25.06690353697352,0.0,0.0,-0.0,0,0.0,577.283751179142,144.33756729740645,0.0,577.283751179142,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1650.0000000000002,0,0,0.0,0,0.0,0.38333333333333336,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.2,diagnostic,0.001044786883588859,0.001044786883588859,0.001044786883588859,0.001044786883588859,3435.992887018253,0.0,0.0,24991.7922188883,50.0,1,18.885391097479026,24991.08136868118,50.0,1,1,0,18.885391097479026,24991.08136868118,1,17.382865223998216,1499.4184454167703,50.0,0,258.68796089851804,250.0,0.0,0.0,1459.6891124271556,26.260565610162736,0.0,0.0,-0.0,0,0.0,797.9778041352513,144.33756729740645,0.0,797.9778041352513,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1725.0000000000002,0,0,0.0,0,0.0,0.39999999999999997,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.25,diagnostic,0.006422544875245483,0.006422544875245483,0.006422544875245483,0.006422544875245483,4749.563890213016,0.006477678678250926,0.0,24992.445843561007,50.0,1,17.382865223998216,24991.7922188883,50.0,1,1,0,17.382865223998216,24991.7922188883,1,16.001317168980496,1499.464882120871,50.0,0,238.14986525160188,250.0,0.0,0.0,1489.933446769068,27.454227683351952,0.0,0.0,-0.0,0,0.0,986.444446666316,144.33756729740645,0.0,986.444446666316,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1799.9999999999998,0,0,0.0,0,0.0,0.4166666666666667,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.3,diagnostic,0.01544911099876422,0.01544911099876422,0.01544911099876422,0.01544911099876422,5871.317346557913,0.039819778226521996,0.0,24993.0468539104,50.0,1,16.001317168980496,24992.445843561007,50.0,1,1,0,16.001317168980496,24992.445843561007,1,14.730919500099086,1499.5075331332978,50.0,0,219.26463911496438,250.0,0.0,0.0,1517.2134996884906,28.647889756541158,0.0,0.0,-0.0,0,0.018297916727302216,1149.7693709984578,144.33756729740645,0.006477678678250926,1149.7693709984578,0.006477678678250926,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1875.0,0,0,0.0,0,0.0,0.43333333333333335,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.35,diagnostic,0.027591658241126797,0.027591658241126797,0.027591658241126797,0.027591658241126797,6843.427296182821,0.09578448819233816,0.0018898912774915832,24993.599473132406,50.0,1,14.730919500099086,24993.0468539104,50.0,1,1,0,14.730919500099086,24993.0468539104,1,13.56276118236893,1499.5467506136604,50.0,0,201.90466349413347,250.0,0.0,0.0052435739305958795,1541.8737385794634,29.84464469347459,0.0,0.0,0.0,0,0.1265265279676026,1293.3356338437272,144.33756729740645,0.039819778226521996,1293.3356338437272,0.039819778226521996,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,1950.0,0,0,0.0,0,0.0,0.45,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.4,diagnostic,0.042434509304289804,0.042434509304289804,0.042434509304289804,0.042434509304289804,7697.933692637865,0.17106828109498615,0.012956102811245838,24994.10763219996,50.0,1,13.56276118236893,24993.599473132406,50.0,1,1,0,13.56276118236893,24993.599473132406,1,12.48894825736908,1499.582811234624,50.0,0,185.96913733316347,250.0,0.0,0.035740591370754575,1564.2076907524959,31.05422644653231,0.0,0.0,0.0,0,0.3344914730286142,1421.4066982628353,144.33756729740645,0.09578448819233816,1421.4066982628353,0.09578448819233816,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,2025.0,0,0,0.0,0,0.0,0.46666666666666673,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.45,diagnostic,0.059650986325431615,0.059650986325431615,0.059650986325431615,0.059650986325431615,8460.212668060396,0.26309395768659677,0.037121648963761245,24994.574895527054,50.0,1,12.48894825736908,24994.10763219996,50.0,1,1,0,12.48894825736908,24994.10763219996,1,11.503245608236917,1499.6159683879443,50.0,0,171.34849217297722,258.19687760328657,0.0,0.0932773542229499,1584.4677075095371,32.27460970041082,0.0,0.0,0.0,0,0.6461671462092553,1537.46016069907,144.33756729740645,0.17106828109498615,1537.46016069907,0.17106828109498615,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,2100.0000000000005,0,0,0.0,0,0.0,0.48333333333333334,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
1.5,diagnostic,0.07898490024652846,0.07898490024652846,0.07898490024652846,0.07898490024652846,9150.962876480864,0.369836115217676,0.07620116869420406,24995.004420697052,50.0,1,11.503245608236917,24994.574895527054,50.0,1,1,0,11.503245608236917,24994.574895527054,1,10.598875804514055,1499.6464579319977,50.0,0,157.9404748834904,268.03373709540426,0.0,0.17812319752962424,1602.8723992923447,33.50421713692553,0.0,0.0,0.0,0,1.029021121378148,1644.1933296648228,149.07003678817836,0.26309395768659677,1644.1933296648228,0.26309395768659677,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,0,1,900000.0,2175.0,0,0,0.0,0,0.0,0.5,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
