time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,traction_command,service_brake_request
25.4,11.3944604272015,625.363577030542,0,0,0,651.84974421759,667.83231428256,0.35,26760,0,0,0
25.5,11.3894345580272,624.951669635348,0,0,0,651.420392740148,667.83231428256,0.35,26760,0,0,0
25.6,11.3844097817269,624.54003200701,0,0,0,650.991322536821,667.83231428256,0.35,26760,0,0,0
25.7,11.3793860975808,624.128663889437,0,0,0,650.562533340635,667.83231428256,0.35,26760,0,0,0
25.8,11.3743635048698,623.717565026949,0,0,0,650.13402488483,667.83231428256,0.35,26760,0,0,0
25.9,11.3693420028753,623.306735164045,0,0,0,649.705796903072,667.83231428256,0.35,26760,0,0,0
26,11.364321590879,622.896174045488,0,0,0,649.277849129214,667.83231428256,0.35,26760,0,0,0
26.1,11.3593022681631,622.48588141641,0,0,0,648.850181297384,667.83231428256,0.35,26760,0,0,0
26.2,11.3542840340103,622.075857022103,0,0,0,648.422793142094,667.83231428256,0.35,26760,0,0,0
26.3,11.3492668877039,621.666100608113,0,0,0,647.995684398024,667.83231428256,0.35,26760,0,0,0
26.4,11.3442508285274,621.25661192035,0,0,0,647.568854800118,667.83231428256,0.35,26760,0,0,0
26.5,11.339235855765,620.84739070501,0,0,0,647.142304083697,667.83231428256,0.35,26760,0,0,0
26.6,11.3342219687013,620.438436708413,0,0,0,646.716031984385,667.83231428256,0.35,26760,0,0,0
26.7,11.3292091666212,620.029749677238,0,0,0,646.29003823793,667.83231428256,0.35,26760,0,0,0
26.8,11.3241974488105,619.621329358517,0,0,0,645.864322580456,667.83231428256,0.35,26760,0,0,0
26.9,11.3191868145549,619.213175499437,0,0,0,645.438884748456,667.83231428256,0.35,26760,0,0,0
27,11.3141772631409,618.805287847428,0,0,0,645.01372447858,667.83231428256,0.35,26760,0,0,0
27.1,11.3091687938556,618.397666150348,0,0,0,644.588841507738,667.83231428256,0.35,26760,0,0,0
27.2,11.3041614059862,617.990310156045,0,0,0,644.164235573279,667.83231428256,0.35,26760,0,0,0
27.3,11.2991550988205,617.58321961286,0,0,0,643.739906412546,667.83231428256,0.35,26760,0,0,0
27.4,11.294149871647,617.176394269358,0,0,0,643.315853763396,667.83231428256,0.35,26760,0,0,0
27.5,11.2891457237543,616.769833874318,0,0,0,642.892077363915,667.83231428256,0.35,26760,0,0,0
27.6,11.2841426544316,616.363538176861,0,0,0,642.468576952414,667.83231428256,0.35,26760,0,0,0
27.7,11.2791406629688,615.957506926321,0,0,0,642.045352267563,667.83231428256,0.35,26760,0,0,0
27.8,11.2741397486558,615.551739872245,0,0,0,641.622403048251,667.83231428256,0.35,26760,0,0,0
27.9,11.2691399107834,615.146236764451,0,0,0,641.199729033588,667.83231428256,0.35,26760,0,0,0
28,11.2641411486426,614.740997353196,0,0,0,640.777329962969,667.83231428256,0.35,26760,0,0,0
28.1,11.259143461525,614.336021388802,0,0,0,640.355205576246,667.83231428256,0.35,26760,0,0,0
28.2,11.2541468487225,613.931308622048,0,0,0,639.933355613335,667.83231428256,0.35,26760,0,0,0
28.3,11.2491513095277,613.526858803726,0,0,0,639.511779814633,667.83231428256,0.35,26760,0,0,0
28.4,11.2441568432333,613.122671684867,0,0,0,639.090477920548,667.83231428256,0.35,26760,0,0,0
28.5,11.2391634491329,612.718747017241,0,0,0,638.669449671736,667.83231428256,0.35,26760,0,0,0
28.6,11.2341711265201,612.315084552448,0,0,0,638.248694809626,667.83231428256,0.35,26760,0,0,0
28.7,11.2291798746894,611.911684042299,0,0,0,637.828213075467,667.83231428256,0.35,26760,0,0,0
28.8,11.2241896929355,611.508545239136,0,0,0,637.408004210728,667.83231428256,0.35,26760,0,0,0
28.9,11.2192005805536,611.105667895481,0,0,0,636.988067957434,667.83231428256,0.35,26760,0,0,0
29,11.2142125368392,610.703051763978,0,0,0,636.568404057792,667.83231428256,0.35,26760,0,0,0
29.1,11.2092255610887,610.300696597571,0,0,0,636.149012254144,667.83231428256,0.35,26760,0,0,0
29.2,11.2042396525985,609.898602149774,0,0,0,635.729892289136,667.83231428256,0.35,26760,0,0,0
29.3,11.1992548106656,609.496768174043,0,0,0,635.311043906015,667.83231428256,0.35,26760,0,0,0
29.4,11.1942710345876,609.095194424032,0,0,0,634.892466847961,667.83231428256,0.35,26760,0,0,0
29.5,11.1892883236624,608.693880653858,0,0,0,634.474160858367,667.83231428256,0.35,26760,0,0,0
29.6,11.1843066771883,608.292826617713,0,0,0,634.056125681102,667.83231428256,0.35,26760,0,0,0
29.7,11.1793260944643,607.892032070315,0,0,0,633.638361060117,667.83231428256,0.35,26760,0,0,0
29.8,11.1743465747896,607.491496766427,0,0,0,633.220866739911,667.83231428256,0.35,26760,0,0,0
29.9,11.1693681174641,607.091220461129,0,0,0,632.803642465028,667.83231428256,0.35,26760,0,0,0
30,11.1643907217878,606.691202909824,0,0,0,632.386687980342,667.83231428256,0.35,26760,0,0,1
30.1,11.1594143870614,606.291443868055,0,0,0,631.970003031067,667.83231428256,0.35,26760,0,0,1
30.2,11.1544391125861,605.891943091596,0,0,80000,631.553587362557,667.83231428256,0.35,26760,0,0,1
30.3,11.055420453219,605.492700336505,0,0,80000,631.137440720412,667.83231428256,0.35,26760,0,0,1
30.4,10.9564230289974,605.093715359083,0,0,80000,630.721562850526,667.83231428256,0.35,26760,0,0,1
30.5,10.8574466459714,0,0,0,80000,630.305953499045,667.83231428256,0.35,26760,0,0,1
30.6,10.7584911103535,0,290258.112463717,26531.1900399557,80000,-290258.112463717,667.83231428256,0.35,26760,0,0,1
30.7,10.6283061342846,0,429233.612593093,39588.8201832598,53468.8099600443,-429233.612593093,667.83231428256,0.35,26760,0,0,1
30.8,10.5139869772718,0,495633.649716978,46129.7082418202,40411.1798167402,-495633.649716978,668.179925603832,0.350829308892753,26787.8647787965,13.9323893982581,0,1
30.9,10.4073519649796,0,526063.551477963,49412.2323561307,33870.2917581798,-526063.551477963,668.693641931857,0.35205569064302,26829.0712056055,48.4679922009855,0,1
31,10.3045688955698,0,536227.284924168,50983.8327776665,30587.7676438693,-536227.284924168,669.286336779437,0.353471786785068,26876.6520359783,92.861620791868,0,1
31.1,10.2038176804644,0,538341.95547816,51741.4292104636,29016.1672223335,-538341.95547816,669.914847038042,0.354974825503576,26927.1541369202,141.903086449226,0,1
