time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,service_brake_request,traction_command
18.3,10.26746295149876,608170.4145963435,0.0,0.0,0.0,629582.9559716274,667.83231428256,0.35,26760.0,0.0,0.0,1.0
18.400000000000002,10.330285473649008,611940.4881985446,0.0,0.0,0.0,633510.8485378579,667.83231428256,0.35,26760.0,0.0,0.0,1.0
18.5,10.39309564039653,615709.8542975852,0.0,0.0,0.0,637438.0085401506,667.83231428256,0.35,26760.0,0.0,0.0,1.0
18.6,10.455893378858978,619478.5086548727,0.0,0.0,0.0,641364.4315599846,667.83231428256,0.35,26760.0,0.0,0.0,1.0
18.7,10.518678616213023,623246.4470350216,0.0,0.0,0.0,645290.113182159,667.83231428256,0.35,26760.0,0.0,0.0,1.0
18.8,10.581451279694669,627013.6652058712,0.0,0.0,0.0,649215.0489948142,667.83231428256,0.35,26760.0,0.0,0.0,1.0
18.900000000000002,10.644211296599588,630780.1589385042,0.0,0.0,0.0,653139.2345894492,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.0,10.706958594283448,634545.9240072642,0.0,0.0,0.0,657062.6655609419,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.1,10.769693100162241,638310.9561897753,0.0,0.0,0.0,660985.3375075669,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.200000000000003,10.832414741712602,642075.251266958,0.0,0.0,0.0,664907.2460310159,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.3,10.895123446472143,645838.8050230494,0.0,0.0,0.0,668828.3867364145,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.400000000000002,10.957819142039776,649601.6132456202,0.0,0.0,0.0,672748.7552323431,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.5,11.020501756076033,653363.6717255927,0.0,0.0,0.0,676668.3471308544,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.6,11.083171216303395,657124.97625726,0.0,0.0,0.0,680587.1580474924,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.700000000000003,11.145827450506614,660885.5226383022,0.0,0.0,0.0,684505.1836013125,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.8,11.208470386533039,664645.3066698052,0.0,0.0,0.0,688422.4194148981,667.83231428256,0.35,26760.0,0.0,0.0,1.0
19.900000000000002,11.271099952292928,668404.3241562793,0.0,0.0,0.0,692338.8611143804,667.83231428256,0.35,26760.0,0.0,0.0,1.0
20.0,11.333716075759783,672162.5709056762,0.0,0.0,0.0,696254.5043294576,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.1,11.396318684970655,675920.0427294064,0.0,0.0,0.0,700169.3446934128,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.200000000000003,11.458907708026484,679676.7354423583,0.0,0.0,0.0,704083.3778431317,667.83231428256,0.35,26760.0,0.0,0.0,0.0
